id,address,lat,lng,location,name,subCategory,popularity,numReviews
413,Place Franz Liszt,48.87806936,2.35161557,Paris,Place Franz Liszt,Plaza,8,4
414,Place de l'Alma,48.86477897,2.301007018,Paris,Place de l'Alma,Plaza,10,1
415,334 Rue des Pyrenees,48.873328,2.390047,Paris,Les Rigoles,Bar,7,4
416,34 avenue de la Porte d’Asnieres,48.89209177,2.302062164,Paris,Novotel Paris Porte d'Asnieres,Hotel,5,6
417,22 Rue Guillaume Apollinaire,48.854408,2.333351,Paris,Le Saint-Germain-des-Pres,Indie Movie Theater,5,2
418,Place Jacques Froment,48.89080083,2.331215143,Paris,Place Jacques Froment,Plaza,0,1
419,4 square Rapp,48.858691,2.300912,Paris,Theetre Adyar,Concert Hall,0,0
420,Rue Philippe Auguste,48.84938688,2.395360894,Paris,Royal Nation,Bar,5,4
421,112 rue Legendre,48.888178,2.321018,Paris,Sans Gene,Lounge,5,16
422,Parc de la Villette,48.895437,2.39234165,Paris,Cabaret Sauvage,Music Venue,4,13
423,"13, rue d'Artois",48.87312305,2.307535988,Paris,The Bowler,Pub,6,6
424,Place de l'Odeon,48.84987696,2.3387146,Paris,Place de l'Odeon,Plaza,10,1
425,68/70 quai de Jemmapes,48.871568,2.36505,Paris,The Cork and Cavan,Pub,6,25
426,31 rue des Batignolles,48.884995,2.320728,Paris,Point Bar les Batignolles,Other Nightlife,5,8
427,40 Boulevard Haussmann,48.87338989,2.332100763,Paris,Terrasse des Galeries Lafayette,Scenic Lookout,7,16
428,64 boulevard de Clichy,48.8833489,2.334130163,Paris,Les 3 Baudets,Concert Hall,6,4
429,Pont de Bir-Hakeim,48.85575049,2.287495136,Paris,Pont de Bir-Hakeim,Bridge,4,9
430,Passage Brady,48.871444,2.354419,Paris,Passage Brady,Miscellaneous Shop,4,7
431,Place Martin Nadaud,48.86495075,2.394398639,Paris,Square Martin Nadaud,Park,5,1
432,42 rue de montreuil,48.8503743,2.387547624,Paris,Aligre FM,Music Venue,0,0
433,Porte de Gentilly,48.81645818,2.34405756,Paris,Porte de Gentilly,Plaza,5,1
434,Place des Ternes,48.87803821,2.298073769,Paris,Place des Ternes,Plaza,4,4
435,43 Rue de Lappe,48.85326065,2.373634235,Paris,Some Girls Bar,Bar,6,9
436,73 Ave. de Suffren,48.85146156,2.30028229,Paris,Carmine Cafe,Pizza Place,6,8
437,227 Rue Vaugirard,48.84155203,2.307858227,Paris,Les Volontaires,French Restaurant,5,2
438,Quai de la Seine,48.88564011,2.37349409,Paris,Quai de la Seine,Other Great Outdoors,3,4
439,Quai de Valmy,48.8781511,2.365880013,Paris,Quai de Valmy,Harbor / Marina,6,5
440,23 bis rue de Varize,48.84206806,2.256917953,Paris,Aumonerie Claude Bernard La Fontaine,Spiritual Center,0,0
441,Place Saint-Ferdinand,48.87795706,2.288101315,Paris,Place Saint-Ferdinand,Plaza,10,1
442,Bois de Vincennes,48.83079737,2.413687706,Paris,Lac Daumesnil,Lake,5,12
443,Place de la porte de bagnolet,48.86421071,2.407353083,Paris,le Vingtieme,Bar,2,3
444,Jardins du Carrousel,48.86183508,2.332491875,Paris,Jardins du Carrousel,Garden,4,7
445,Rue Sibuet,48.84391127,2.403243607,Paris,Rue Sibuet,Other Great Outdoors,0,0
446,Rue Saint-Maur,48.86906221,2.37364769,Paris,eglise Saint-Joseph-des-Nations,Church,0,0
447,Pont de la Tournelle,48.85066414,2.355467677,Paris,Pont de la Tournelle,Bridge,7,3
448,254 Rue Saint-Martin,48.865544,2.353888,Paris,eglise Saint-Nicolas-des-Champs,Church,0,0
449,Avenue de l'Observatoire,48.84233638,2.336912155,Paris,Jardin des Grands Explorateurs Marco Polo et Cavelier-de-la-Salle,Garden,2,3
450,Parc Suzanne Lenglen,48.83052899,2.270693779,Paris,Tennis Suzanne Lenglen,Tennis Court,4,4
451,34 bd Carnot,48.8416444,2.412486076,Paris,Piscine Roger Le Gall,Pool,4,16
452,Parc Floral,48.837642,2.44718,Paris,Aire de jeux du Parc Floral,Playground,5,6
453,Quai Saint-Bernard,48.84768454,2.361017914,Paris,Quai Saint-Bernard,Trail,7,8
454,Pont Saint-Louis,48.85275381,2.352731824,Paris,Pont Saint-Louis,Bridge,5,5
455,48 Rue Vieille du Temple,48.85823827,2.358552493,Paris,L'Espace des Blancs-Manteaux,Art Gallery,5,1
456,Place de la Bataille de Stalingrad,48.88368266,2.36931324,Paris,Place de la Bataille de Stalingrad,Plaza,4,7
457,58 rue Gauthey,48.89376397,2.322254068,Paris,Irene et Bernard,Bar,6,21
